,SalePrice
SalePrice,1.0
OverallQual,0.7909816005838053
TotalSF,0.7822600527979827
GrLivArea,0.7086244776126515
PricePerSF,0.6406024672972813
GarageCars,0.6404091972583519
TotalBaths,0.631731067931988
GarageArea,0.6234314389183622
TotalBsmtSF,0.6135805515591943
1stFlrSF,0.6058521846919153
QualCond,0.5652938448019185
FullBath,0.5606637627484453
TotRmsAbvGrd,0.5337231555820284
HouseAge,0.5233504175468151
YearBuilt,0.5228973328794967
YearBuilt_Decade,0.5158241284003008
RemodelAge,0.5090787380156288
YearRemodAdd,0.5071009671113866
GarageYrBlt,0.4863616774878596
MasVnrArea,0.47749304709571444
